CustomerID,Age,Gender,Income,ShoppingFrequency,AvgBasketValue,LoyaltyCardMember,OnlineShoppingUsage,DaysLastPurchase,TotalPurchaseAmount,TotalVisits,ComplaintsMade,SpecialOffersRedeemed,FeedbackScore,PreferredPaymentMethod,PreferredStoreLocation,Churn
1032,40,Male,61000,Biweekly,82.50,Yes,Low,16,2000,22,1,7,3.8,Debit Card,Mall,No
1033,49,Female,72000,Weekly,96.80,Yes,Medium,6,4700,48,0,18,4.5,Credit Card,Mall,No
1034,30,Male,40000,Monthly,49.60,No,Low,39,600,12,3,2,2.9,Cash,Suburb,Yes
1035,43,Female,69000,Biweekly,91.40,Yes,High,11,2200,24,0,9,4.0,Credit Card,Downtown,No
1036,56,Male,105000,Weekly,160.30,Yes,Medium,3,8300,52,0,23,4.8,Credit Card,Downtown,No
1037,31,Female,44000,Monthly,68.20,No,Low,44,820,10,2,3,3.2,Debit Card,Suburb,Yes
1038,41,Male,63000,Biweekly,81.70,Yes,Medium,13,1950,24,1,8,3.7,Debit Card,Mall,No
1039,54,Female,86000,Weekly,112.50,Yes,High,5,5800,48,0,20,4.7,Credit Card,Downtown,No
1040,33,Male,47000,Monthly,95.30,No,Low,37,1150,12,2,4,3.1,Cash,Suburb,Yes
1041,60,Female,93000,Biweekly,125.80,Yes,Medium,9,3050,24,0,11,4.2,Credit Card,Downtown,No
1042,27,Male,38000,Monthly,54.60,No,Medium,31,650,10,1,3,3.0,Debit Card,Suburb,Yes
1043,52,Female,87000,Weekly,116.90,Yes,High,4,6000,50,0,23,4.8,Credit Card,Downtown,No
1044,39,Male,60000,Biweekly,79.40,Yes,Low,17,1900,22,1,6,3.6,Debit Card,Mall,No
1045,48,Female,71000,Weekly,94.20,Yes,Medium,7,4600,48,0,17,4.4,Credit Card,Mall,No
1046,29,Male,39000,Monthly,47.80,No,Low,41,580,12,3,2,2.8,Cash,Suburb,Yes
1047,42,Female,68000,Biweekly,90.10,Yes,High,10,2100,24,0,8,3.9,Credit Card,Downtown,No
1048,57,Male,108000,Weekly,170.50,Yes,Medium,2,8800,52,0,24,4.9,Credit Card,Downtown,No
1049,32,Female,45000,Monthly,70.30,No,Low,43,840,10,2,3,3.3,Debit Card,Suburb,Yes
1050,40,Male,62000,Biweekly,80.60,Yes,Medium,12,1900,24,1,7,3.8,Debit Card,Mall,No 
